"Marca temporal","Puntuación total","Enter your experimental ID","Enter your experimental ID [Puntuación]","Enter your experimental ID [Comentarios]","Which is the percentage value of mag^2 for the state 0 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 0 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 0 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 128 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 128 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 128 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 164 (decimal)>? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 164 (decimal)>? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 164 (decimal)>? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 367 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 367 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 367 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 516 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 516 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 516 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 552 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 552 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 552 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 752 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 752 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 752 (decimal)? (e.g., 32.7) [Comentarios]","Which is the percentage value of mag^2 for the state 844 (decimal)? (e.g., 32.7)","Which is the percentage value of mag^2 for the state 844 (decimal)? (e.g., 32.7) [Puntuación]","Which is the percentage value of mag^2 for the state 844 (decimal)? (e.g., 32.7) [Comentarios]","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link')","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link') [Puntuación]","Copy the code of the circuit created (Export button, then 'Copy to clipboard' under 'Escaped Link') [Comentarios]"
"2024/05/24 2:16:23 p. m. EEST","7.00 / 8","Bari062","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0.7812","0.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22H%22%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:16:27 p. m. EEST","6.00 / 8","Bari054,","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","3.125","0.00 / 1","","0","1.00 / 1","","4.5535","0.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:16:48 p. m. EEST","8.00 / 8","Bari019","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C%22Measure%22%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:17:15 p. m. EEST","8.00 / 8","Bari049","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:17:28 p. m. EEST","8.00 / 8","Bari030","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:17:44 p. m. EEST","6.00 / 8","Bari024","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","0.00 / 1","","0","1.00 / 1","","6.25","0.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:18:23 p. m. EEST","8.00 / 8","Bari031","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:18:46 p. m. EEST","8.00 / 8","Bari023","-- / 0","","25.0","1.00 / 1","","12.5","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","0.0","1.00 / 1","","1.5625","1.00 / 1","","0.0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:18:57 p. m. EEST","8.00 / 8","Bari085","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C%22Measure%22%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:20:00 p. m. EEST","8.00 / 8","Bari042","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:20:02 p. m. EEST","8.00 / 8","Bari095","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","1.5625","1.00 / 1","","0","1.00 / 1","","9.1069","1.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
"2024/05/24 2:20:08 p. m. EEST","6.00 / 8","Bari110","-- / 0","","25","1.00 / 1","","12.5","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","0","1.00 / 1","","3.1250","0.00 / 1","","0","1.00 / 1","","0","0.00 / 1","","https://algassert.com/quirk#circuit=%7B%22cols%22%3A%5B%5B1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C%22H%22%5D%2C%5B1%2C1%2C%22H%22%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C%22X%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C%22Y%22%2C1%2C1%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22Swap%22%2C1%2C%22Swap%22%5D%2C%5B1%2C%22%E2%80%A2%22%2C1%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22Z%22%2C1%2C1%2C%22%E2%80%A2%22%5D%2C%5B%22%E2%80%A2%22%2C%22Z%5E%C2%BD%22%5D%2C%5B1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C%22X%22%5D%2C%5B1%2C1%2C1%2C%22Swap%22%2C1%2C1%2C1%2C1%2C%22Swap%22%5D%2C%5B1%2C%22Measure%22%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C%22H%22%2C1%2C%22%E2%80%A2%22%5D%2C%5B1%2C1%2C1%2C1%2C1%2C1%2C1%2C%22Measure%22%5D%2C%5B1%2C1%2C1%2C1%2C%22%E2%80%A2%22%2C1%2C1%2C1%2C%22Z%22%5D%5D%7D","-- / 0",""
